,name,wine_url,productVarietal,productStock,productRegion,productPrice,productOrigin,productID,productCompetitiveIntensity,ProductAvailability,pProductID,description,pageName,shippingRegion,shipToState,priceCurrency,price,averageRating_bestRating,averageRating_worstRating,bestRating,worstRating,additionalType,uploadDate,prodAlcoholVolume_text,prodAlcoholPercent_percent,JS,WS,WW,D,BH,W&S,WE,RP,JD,SJ,V,CG,TP
w11,A Stone Cross Among the Vines,https://www.wine.com/product/product/chateau-lynch-bages-2019/583775,Bordeaux Red Blends,78,Pauillac,$159.99,"Pauillac, Bordeaux, France",583775,C/I: Luxury BDX,In Stock,FNY583775_2019,Chateau Lynch-Bages A Stone Cross Among the Vines Winery Image,Wine:Product Detail:Chateau Lynch-Bages 2019,NY,PA,USD,159.99,5,1,5,1,winery-image,2019-06-04T18:04:18+0000,750,14.1,97.0,96,,97,,,,96,100,,99,,
w12,Galerie Imperiale,https://www.wine.com/product/product/moet-and-chandon-imperial-brut/97557,Non-Vintage Sparkling Wine,655,Champagne,$64.97,"Champagne, France",97557,C/I: KVI,In Stock,CGM8533_0,Moët & Chandon Galerie Imperiale Winery Image,Wine:Product Detail:Moet & Chandon Imperial Brut,NY,PA,USD,64.97,5,1,5,1,winery-image,2018-07-26T18:14:41+0000,750,12,91.0,90,,,,,90,,,93,,,
w13,CADE Estate Winery Image,https://www.wine.com/product/product/cade-howell-mountain-estate-cabernet-sauvignon-2018/786280,Cabernet Sauvignon,6,Howell Mountain,$119.99,"Howell Mountain, Napa Valley, California",786280,C/I: Exception,In Stock - Last Call,WLD18439_2018,CADE Estate Winery Image,Wine:Product Detail:CADE Howell Mountain Estate Cabernet Sauvignon 2018,NY,PA,USD,119.99,5,1,5,1,winery-image,2018-06-13T20:31:40+0000,750,15.6,,93,94,,,,,,95,,95,,
w14,Visitor Center,https://www.wine.com/product/product/duckhorn-napa-valley-cabernet-sauvignon-2019/871938,Cabernet Sauvignon,298,Napa Valley,$69.99,"Napa Valley, California",871938,C/I: MAP,In Stock,PIN538032_2019,"Unveiled in 2001, our estate house and tasting room feature a traditional design with a wrap-around veranda, nestled in beautiful St. Helena.",Wine:Product Detail:Duckhorn Napa Valley Cabernet Sauvignon 2019,NY,PA,USD,69.99,5,1,5,1,winery-image,2018-04-18T19:51:31+0000,750,14.5,92.0,90,92,,,,,,90,,,91,
w15,Chardonnay Vineyards,https://www.wine.com/product/product/laurent-perrier-cuvee-rose/10521,Sparkling Rosé,1036,Champagne,$89.99,"Champagne, France",10521,C/I: KVI,In Stock,WBO30018492_0,Chardonnay Vineyards at the Laurent-Perrier Domaine in Tours-sur-Marne,Wine:Product Detail:Laurent-Perrier Cuvee Rose,NY,PA,USD,89.99,5,1,5,1,winery-image,2018-11-14T00:43:19+0000,750,12,,92,,95,,92,94,92,92,,,,
w16,Sonoma-Cutrer Vineyards  Winery Image,https://www.wine.com/product/product/sonoma-cutrer-sonoma-coast-chardonnay-2021/1087321,Chardonnay,1116,Sonoma Coast,$27.99,"Sonoma Coast, Sonoma County, California",1087321,C/I: KVI,In Stock,CGM55345_2021,Sonoma-Cutrer Vineyards  Winery Image,Wine:Product Detail:Sonoma-Cutrer Sonoma Coast Chardonnay 2021,NY,PA,USD,27.99,5,1,5,1,winery-image,2019-10-03T17:14:39+0000,750,13.9,,90,,,,,90,,,,,,
w17,Winemaker Heidi Von Der Mehden,https://www.wine.com/product/product/merry-edwards-sonoma-coast-pinot-noir-2019/890980,Pinot Noir,102,Sonoma Coast,$54.99,"Sonoma Coast, Sonoma County, California",890980,C/I: MAP,In Stock,WLD19296_2019,Merry Edwards Winemaker Heidi Von Der Mehden Winery Image,Wine:Product Detail:Merry Edwards Sonoma Coast Pinot Noir 2019,NY,PA,USD,54.99,5,1,5,1,winery-image,2020-04-06T17:58:58+0000,750,14.5,,91,,,,,94,93,93,,,,
w18,Far Niente Round Room Cellar,https://www.wine.com/product/product/far-niente-napa-valley-cabernet-sauvignon-2019/859904,Cabernet Sauvignon,984,Napa Valley,$119.99,"Napa Valley, California",859904,C/I: MAP,In Stock,CGM52393_2019,Far Niente Far Niente Round Room Cellar Winery Image,Wine:Product Detail:Far Niente Napa Valley Cabernet Sauvignon 2019,NY,PA,USD,119.99,5,1,5,1,winery-image,2018-08-14T16:57:10+0000,750,14.5,94.0,91,94,,,,96,92,94,,,,
w19,French puncheons for oak integration,https://www.wine.com/product/product/allan-scott-marlborough-sauvignon-blanc-2022/1123978,Sauvignon Blanc,13772,Marlborough,$16.99,"Marlborough, New Zealand",1123978,C/I: Popular,In Stock,WBO30293200_2022,500L French puncheons are used to facilitate perfect oak integration. New World wines are made with all the experience and enthusiasm that comes with the many years of winemaking.,Wine:Product Detail:Allan Scott Marlborough Sauvignon Blanc 2022,NY,PA,USD,16.99,5,1,5,1,winery-image,2021-05-13T16:23:21+0000,750,12,,93,90,,,,,,,,,,
w20,The Corton Grancey Cuverie ,https://www.wine.com/product/product/louis-latour-pouilly-fuisse-2020/877497,Chardonnay,2739,Pouilly-Fuisse,$36.99,"Pouilly-Fuisse, Maconnais, Burgundy, France",877497,C/I: Popular,In Stock,TONLA110_20_2020,Construction of the Cuverie began in 1832 and it is where all of Domaine Louis Latour wines are made and aged. It is built over five levels into the hill which allows the entire winemaking process to be carried by gravity.,Wine:Product Detail:Louis Latour Pouilly-Fuisse 2020,NY,PA,USD,36.99,5,1,5,1,winery-image,2018-08-21T23:35:08+0000,750,13,,90,92,,,,,,,,,,
w21,Visit Wente Vineyards,https://www.wine.com/product/product/wente-morning-fog-chardonnay-2021/1006428,Chardonnay,835,Livermore Valley,$15.99,"Livermore Valley, Central Coast, California",1006428,C/I: Exception,In Stock,OPI55719_2021,"Located just east of San Francisco in the historic Livermore Valley, Wente Vineyards is recognized as one of California’s premier wine country destinations, featuring wine tasting, food and wine experiences, and championship golf.",Wine:Product Detail:Wente Morning Fog Chardonnay 2021,NY,PA,USD,15.99,5,1,5,1,winery-image,2023-01-31T02:55:57+0000,750,13.5,,89,,,,,90,,,,,,91
w22,The Chalk Hill Corridors,https://www.wine.com/product/product/chalk-hill-sonoma-coast-chardonnay-2021/1083800,Chardonnay,913,Sonoma Coast,$18.99,"Sonoma Coast, Sonoma County, California",1083800,C/I: Popular,In Stock,PIN560204_2021,Chalk Hill Winery The Chalk Hill Corridors Winery Image,Wine:Product Detail:Chalk Hill Sonoma Coast Chardonnay 2021,NY,PA,USD,18.99,5,1,5,1,winery-image,2019-11-06T19:52:28+0000,750,14.1,,92,,,,93,,,,,,,
w23,The Cellars,https://www.wine.com/product/product/billecart-salmon-brut-reserve/29135,Non-Vintage Sparkling Wine,239,Champagne,$66.99,"Champagne, France",29135,C/I: Popular,In Stock,TEWFR102_0,Billecart-Salmon The Cellars Winery Image,Wine:Product Detail:Billecart-Salmon Brut Reserve,NY,PA,USD,66.99,5,1,5,1,winery-image,2019-03-04T21:38:04+0000,750,12,92.0,91,,,,,,,,,,,
w24,Winemaker Chantal Forthun,https://www.wine.com/product/product/flowers-sonoma-coast-pinot-noir-2021/1089653,Pinot Noir,1612,Sonoma Coast,$49.99,"Sonoma Coast, Sonoma County, California",1089653,C/I: KVI,In Stock,PIN561076_2021,Flowers Winemaker Chantal Forthun Winery Image,Wine:Product Detail:Flowers Sonoma Coast Pinot Noir 2021,NY,PA,USD,49.99,5,1,5,1,winery-image,2018-04-30T18:44:40+0000,750,13.5,93.0,93,,,,,,,,,,,
w25,Coombsville Sunrise,https://www.wine.com/product/product/faust-cabernet-sauvignon-2019/895674,Cabernet Sauvignon,525,Napa Valley,$57.99,"Napa Valley, California",895674,C/I: MAP,In Stock,PIN561078_2019,Faust Coombsville Sunrise Winery Image,Wine:Product Detail:Faust Cabernet Sauvignon 2019,NY,PA,USD,57.99,5,1,5,1,winery-image,2020-03-18T16:06:34+0000,750,14.9,95.0,93,,,,,,90,,,,,
w26,Ceretto  Winery Image,https://www.wine.com/product/product/ceretto-barbaresco-2019/1184260,Nebbiolo,640,Barbaresco,$74.99,"Barbaresco, Piedmont, Italy",1184260,C/I: Long Tail,In Stock,TON83524_19_2019,Ceretto  Winery Image,Wine:Product Detail:Ceretto Barbaresco 2019,NY,PA,USD,74.99,5,1,5,1,winery-image,2019-03-20T15:36:01+0000,750,14.5,93.0,93,92,,,,,94,,,,,
w27,Tenuta di Bibbiano Winery Image,https://www.wine.com/product/product/bibbiano-vigna-del-capannino-chianti-classico-gran-selezione-2019/1133016,Sangiovese,116,Chianti Classico,$39.99,"Chianti Classico, Chianti, Tuscany, Italy",1133016,C/I: Long Tail,In Stock,SHR106930_2019,Inside of Bibbiano Winery (old vintage library).,Wine:Product Detail:Bibbiano Vigna del Capannino Chianti Classico Gran Selezione 2019,NY,PA,USD,39.99,5,1,5,1,winery-image,2020-04-22T22:58:31+0000,750,14.5,95.0,93,,94,,91,,94,,,,,
w28,Vineyards in the Russian River Valley,https://www.wine.com/product/product/la-crema-sonoma-coast-pinot-noir-2021/1158164,Pinot Noir,1600,Sonoma Coast,$25.99,"Sonoma Coast, Sonoma County, California",1158164,C/I: KVI,In Stock,PIN569873_2021,"A cooling fog blankets vineyards during the evenings and mornings, but afternoons are filled with abundant sunshine, leading to temperature shifts of up to 40 degrees in a single day.",Wine:Product Detail:La Crema Sonoma Coast Pinot Noir 2021,NY,PA,USD,25.99,5,1,5,1,winery-image,2018-03-27T19:27:01+0000,750,13.9,,91,,,,,91,,,,,,
w29,Ridgeline Vineyard Cabernet Sauvignon,https://www.wine.com/product/product/decoy-sauvignon-blanc-2021/1026080,Sauvignon Blanc,1782,Sonoma County,$17.99,"Sonoma County, California",1026080,C/I: KVI,In Stock,PIN554041_2021,This storied vineyard is important to our Decoy Sonoma Country Cabernet Sauvignon and Merlot imparting lush fruit and structured tannins to the wines.,Wine:Product Detail:Decoy Sauvignon Blanc 2021,NY,PA,USD,17.99,5,1,5,1,winery-image,2018-04-18T19:20:08+0000,750,13.9,,89,89,,,,,,,,,,
w30,Craggy Range Terry and Mary Peabody,https://www.wine.com/product/product/craggy-range-winery-te-muna-road-vineyard-sauvignon-blanc-2022/1153249,Sauvignon Blanc,1034,Martinborough,$23.99,"Martinborough, New Zealand",1153249,C/I: Exception,In Stock,CGM54369_2022,Founders of Craggy Range,Wine:Product Detail:Craggy Range Winery Te Muna Road Vineyard Sauvignon Blanc 2022,NY,PA,USD,23.99,5,1,5,1,winery-image,2020-09-10T17:36:04+0000,750,12.5,92.0,93,,,,,,,,,,,
w31,Oak Barrels,https://www.wine.com/product/product/beaulieu-vineyard-georges-de-latour-private-reserve-2019/1166321,Cabernet Sauvignon,686,Napa Valley,$149.99,"Napa Valley, California",1166321,C/I: Popular,In Stock,CGM55612_2019,Beaulieu Vineyard Oak Barrels Winery Image,Wine:Product Detail:Beaulieu Vineyard Georges de Latour Private Reserve 2019,NY,PA,USD,149.99,5,1,5,1,winery-image,2018-12-19T23:42:10+0000,750,14.7,100.0,93,,,,94,97,94,99,,97,,
w32,Chardonnay Vineyards,https://www.wine.com/product/product/laurent-perrier-la-cuvee-brut/330988,Non-Vintage Sparkling Wine,2700,Champagne,$59.99,"Champagne, France",330988,C/I: KVI,In Stock,WBO30197275_0,Chardonnay Vineyards at the Laurent-Perrier Domaine in Tours-sur-Marne,Wine:Product Detail:Laurent-Perrier La Cuvee Brut,NY,PA,USD,59.99,5,1,5,1,winery-image,2018-11-14T00:43:19+0000,750,12,,91,,,,,91,,91,,,,
w33,David Ramey in the Cellar,https://www.wine.com/product/product/ramey-russian-river-chardonnay-2021/1307860,Chardonnay,241,Russian River,$49.99,"Russian River, Sonoma County, California",1307860,C/I: Long Tail,In Stock,SKRUSRAM1021_2021,Ramey’s Cabernet Sauvignon follows the Bordelaise model of terroir-riven wines blending different Bordeaux varietals.,Wine:Product Detail:Ramey Russian River Chardonnay 2021,NY,PA,USD,49.99,5,1,,,winery-image,2019-11-05T18:25:24+0000,750,14.5,,94,,,,,95,,,,,,
w34,Chateau Leoville Poyferre Winery Image,https://www.wine.com/product/product/chateau-leoville-poyferre-2019/583762,Bordeaux Red Blends,17,St-Julien,$119.99,"St-Julien, Bordeaux, France",583762,C/I: Luxury BDX,In Stock,FNY583762_2019,Chateau Leoville Poyferre Winery Image,Wine:Product Detail:Chateau Leoville Poyferre 2019,NY,PA,USD,119.99,5,1,5,1,winery-image,2018-02-01T23:41:51+0000,750,14.18,95.0,96,,96,,,,96,98,,,,
w35,Ruinart Winery Image,https://www.wine.com/product/product/ruinart-brut-blanc-de-blancs-second-skin-gift-wrapped-bottle/767508,Non-Vintage Sparkling Wine,302,Champagne,$119.99,"Champagne, France",767508,C/I: Long Tail,In Stock,CGM49951_0,"Over 125 feet below ground and almost 5 miles long, these unique caves are absent of vibration and offer optimal conditions for temperature, fermentation, and maturation.",Wine:Product Detail:Ruinart Brut Blanc de Blancs (Second Skin Gift Wrapped Bottle),NY,PA,USD,119.99,5,1,5,1,winery-image,2018-07-26T19:41:56+0000,750,12.5,93.0,93,,,,93,92,,,,,,
w36,Château Paloumey Gate,https://www.wine.com/product/product/chateau-paloumey-2019/965166,Bordeaux Red Blends,1714,Haut Medoc,$32.99,"Haut Medoc, Bordeaux, France",965166,C/I: Exception,In Stock,TON10192_19_2019,Chateau Paloumey Château Paloumey Gate Winery Image,Wine:Product Detail:Chateau Paloumey 2019,NY,PA,USD,32.99,5,1,5,1,winery-image,2022-03-25T13:56:04+0000,750,14,91.0,90,,95,,,93,90,,,,,
w37,Winemaker Chantal Forthun,https://www.wine.com/product/product/flowers-sonoma-coast-chardonnay-2021/1103405,Chardonnay,1402,Sonoma Coast,$49.99,"Sonoma Coast, Sonoma County, California",1103405,C/I: KVI,In Stock,PIN561074_2021,Flowers Winemaker Chantal Forthun Winery Image,Wine:Product Detail:Flowers Sonoma Coast Chardonnay 2021,NY,PA,USD,49.99,5,1,5,1,winery-image,2018-04-30T18:44:40+0000,750,13.5,93.0,92,,,,,,,,,,,
w38,"Master Cellar Master, Guillaume Roffiaen",https://www.wine.com/product/product/nicolas-feuillatte-reserve-exclusive-brut/12927,Non-Vintage Sparkling Wine,1414,Champagne,$41.99,"Champagne, France",12927,C/I: KVI,In Stock,PIN538618_0,"Giullaume Roffiaen studied agricultural engineering and agribusiness which led his passion to Reims in 2002. Through his unstinting, meticulous approach, he was appointed Chief Winemaker in 2017 at Director and Director of Vines and Wines in 2018.",Wine:Product Detail:Nicolas Feuillatte Reserve Exclusive Brut,NY,PA,USD,41.99,5,1,5,1,winery-image,2023-03-20T14:22:42+0000,750,12,91.0,92,,,,,,,,,,,92
w39,"Tibault, Guillaume, and Jacques.",https://www.wine.com/product/product/resonance-willamette-valley-pinot-noir-2021/1220253,Pinot Noir,606,Willamette Valley,$39.99,"Willamette Valley, Oregon",1220253,C/I: Popular,In Stock,CGM55757_2021,"Resonance Tibault, Guillaume, and Jacques. Winery Image",Wine:Product Detail:Resonance Willamette Valley Pinot Noir 2021,NY,PA,USD,39.99,5,1,5,1,winery-image,2019-10-30T22:07:20+0000,750,13.5,92.0,94,,,,,,,,,,,
w40,R. Lopez de Heredia Vines,https://www.wine.com/product/product/r-lopez-de-heredia-rioja-vina-tondonia-reserva-2010/1067952,Tempranillo,22,Rioja,$54.99,"Rioja, Spain",1067952,C/I: Long Tail,In Stock,DBWDB0245_10_2010,R. Lopez de Heredia R. Lopez de Heredia Vines Winery Image,Wine:Product Detail:R. Lopez de Heredia Rioja Vina Tondonia Reserva 2010,NY,PA,USD,54.99,5,1,5,1,winery-image,2020-09-17T18:12:46+0000,750,13,97.0,93,,,,,,96,,,,,
w41,The cellars of Champagne Louis Roederer,https://www.wine.com/product/product/louis-roederer-collection-243/1090411,Non-Vintage Sparkling Wine,464,Champagne,$64.99,"Champagne, France",1090411,C/I: Exception,In Stock,CGM55524_0,Louis Roederer The cellars of Champagne Louis Roederer Winery Image,Wine:Product Detail:Louis Roederer Collection 243,NY,PA,USD,64.99,5,1,5,1,winery-image,2018-06-11T22:06:05+0000,750,12.5,94.0,92,,,,91,,92,93,,,,
w42,Domaines Ott Corks,https://www.wine.com/product/product/domaines-ott-chateau-romassan-bandol-rose-2021/895409,Rosé,304,Bandol,$61.99,"Bandol, Provence, South of France, France",895409,C/I: Long Tail,In Stock,CGM52937_2021,Domaines Ott Domaines Ott Corks Winery Image,Wine:Product Detail:Domaines Ott Chateau Romassan Bandol Rose 2021,NY,PA,USD,61.99,5,1,,,winery-image,2020-04-13T21:03:18+0000,750,0,,92,,,,96,,91,,,,,
w43,"Seghesio, Bonded Winery No. 850",https://www.wine.com/product/product/seghesio-sonoma-zinfandel-2021/1184011,Zinfandel,6060,Sonoma County,$21.99,"Sonoma County, California",1184011,C/I: KVI,In Stock,WBO30307192_2021,"Seghesio Family Vineyards was one of only a handful of wineries to survive Prohibition in Sonoma County and today we are Bonded Winery No. 850!
",Wine:Product Detail:Seghesio Sonoma Zinfandel 2021,NY,PA,USD,21.99,5,1,5,1,winery-image,2023-01-12T23:59:04+0000,750,15,,92,,,,,,,,,,,
w44,"VINCENT CHAPERON, THE CELLAR MASTER",https://www.wine.com/product/product/dom-perignon-vintage-2013/1153954,Vintage Sparkling Wine,51,Champagne,$289.97,"Champagne, France",1153954,C/I: Exception,In Stock,CGM56223_2013,In 2019 Vincent Chaperon became the Dom Pérignon Chef de Cave. He was born to a Bordeaux winemaking family where vineyards are a legacy and wine is a culture. Vincent sees Dom Pérignon’s vision – harmony as a source of emotion – as a true raison d’être. ,Wine:Product Detail:Dom Perignon Vintage 2013,NY,PA,USD,289.97,5,1,,,winery-image,2021-05-15T19:05:10+0000,750,12.5,98.0,96,,,,,,95,,,,,
w45,El Enemigo Barrel Room,https://www.wine.com/product/product/el-enemigo-chardonnay-2020/1070367,Chardonnay,2581,Mendoza,$24.99,"Mendoza, Argentina",1070367,C/I: Popular,In Stock,WBO30293708_2020,El Enemigo El Enemigo Barrel Room Winery Image,Wine:Product Detail:El Enemigo Chardonnay 2020,NY,PA,USD,24.99,5,1,5,1,winery-image,2019-09-27T21:45:28+0000,750,13.8,96.0,92,,,,,,,,,,,
w46,"La Grande Dame, the Glory of Pinot Noir",https://www.wine.com/product/product/veuve-clicquot-yellow-label-brut-15-liter-magnum/15511,Non-Vintage Sparkling Wine,29,Champagne,$169.97,"Champagne, France",15511,C/I: Exception,In Stock,CGM14241_0,"More than 200 years ago, Madame Clicquot was already particularly fond of this grape variety. The predominance of Pinot Noir marks out the style of Veuve Clicquot, and has become the signature of the House.​",Wine:Product Detail:Veuve Clicquot Yellow Label Brut (1.5 Liter Magnum),NY,PA,USD,169.97,5,1,5,1,winery-image,2022-07-19T00:16:26+0000,1500,12,92.0,90,,94,,90,90,,,,,,
w47,Far Niente Round Room Cellar,https://www.wine.com/product/product/far-niente-chardonnay-2021/1136785,Chardonnay,948,Napa Valley,$69.99,"Napa Valley, California",1136785,C/I: MAP,In Stock,CGM54746_2021,Far Niente Far Niente Round Room Cellar Winery Image,Wine:Product Detail:Far Niente Chardonnay 2021,NY,PA,USD,69.99,5,1,5,1,winery-image,2018-08-14T16:57:10+0000,750,14.3,,92,92,,,,,,,,,,
w48,Tenuta Guado al Tasso Estate,https://www.wine.com/product/product/antinori-villa-toscana-2019/938013,Tuscan Blends,1748,Tuscany,$19.99,"Tuscany, Italy",938013,C/I: KVI,In Stock,PIN539283_2019,Tenuta Guado al Tasso is located in the small but prestigious Bolgheri DOC. This appellation has relatively recent history being approved in 1994 and since than it has become an internationally recognized reference point for winemaking.,Wine:Product Detail:Antinori Villa Toscana 2019,NY,PA,USD,19.99,5,1,5,1,winery-image,2023-03-10T23:38:02+0000,750,13.5,92.0,90,,,,,90,,,,,,
w49,Gruet Winery,https://www.wine.com/product/product/gruet-brut/12333,Non-Vintage Sparkling Wine,742,New Mexico,$18.99,"New Mexico, Other U.S.",12333,C/I: KVI,In Stock,OPI40574_0,Gruet Gruet Winery Winery Image,Wine:Product Detail:Gruet Brut,NY,PA,USD,18.99,5,1,5,1,winery-image,2021-10-19T19:33:47+0000,750,12,,90,91,,,,,,,,,,91
w50,Penfolds Chief Winemaker Peter Gago ,https://www.wine.com/product/product/penfolds-bin-28-shiraz-2020/1155677,Syrah/Shiraz,590,South Australia,$31.99,"South Australia, Australia",1155677,C/I: Popular,In Stock,CGM55668_2020,In 2002 Peter became the fourth ever Chief Winemaker for Penfolds.,Wine:Product Detail:Penfolds Bin 28 Shiraz 2020,NY,PA,USD,31.99,5,1,5,1,winery-image,2020-10-30T19:20:10+0000,750,14.5,93.0,94,,,,,,94,,,,,
w51,"La Grande Dame, the Glory of Pinot Noir",https://www.wine.com/product/product/veuve-clicquot-la-grande-dame-yayoi-kusama-limited-edition-in-gift-box-2012/667387,Vintage Sparkling Wine,10,Champagne,$239.97,"Champagne, France",667387,C/I: Long Tail,In Stock,CGM48182_2012,"More than 200 years ago, Madame Clicquot was already particularly fond of this grape variety. The predominance of Pinot Noir marks out the style of Veuve Clicquot, and has become the signature of the House.​",Wine:Product Detail:Veuve Clicquot La Grande Dame Yayoi Kusama Limited Edition in Gift Box 2012,NY,PA,USD,239.97,5,1,5,1,winery-image,2022-07-19T00:16:26+0000,750,12.5,94.0,95,,96,,,96,,,,,,
w52,Nautilus Estate Winery Image,https://www.wine.com/product/product/nautilus-sauvignon-blanc-2022/1181694,Sauvignon Blanc,3254,Marlborough,$17.99,"Marlborough, New Zealand",1181694,C/I: Popular,In Stock,WBO30295464_2022,Nautilus Estate Winery Image,Wine:Product Detail:Nautilus Sauvignon Blanc 2022,NY,PA,USD,17.99,5,1,5,1,winery-image,2018-05-04T20:25:37+0000,750,12.5,91.0,92,,,,,92,,,,,,
w53,RAEN Vineyard Map,https://www.wine.com/product/product/raen-royal-st-robert-cuvee-pinot-noir-2021/1246069,Pinot Noir,34,Sonoma Coast,$79.99,"Sonoma Coast, Sonoma County, California",1246069,C/I: MAP,In Stock,SKRUSRAE2021_2021,RAEN RAEN Vineyard Map Winery Image,Wine:Product Detail:RAEN Royal St. Robert Cuvee Pinot Noir 2021,NY,PA,USD,79.99,5,1,5,1,winery-image,2021-09-01T20:55:03+0000,750,13,98.0,95,,,,,,95,,,94,,
