,search_url,name,wine_url,productVarietal,productStock,productRegion,productPrice,productOrigin,productID,productCompetitiveIntensity,ProductAvailability,pProductID,description,pageName,shippingRegion,shipToState,priceCurrency,price,averageRating_bestRating,averageRating_worstRating,bestRating,worstRating,additionalType,uploadDate,prodAlcoholVolume_text,prodAlcoholPercent_percent,JS,WS,WW,D,BH,W&S,WE,RP,JD,SJ,V,CG,TP
w11,https://www.wine.com/list/wine/7155/1,2018 Cotes du Rhone La Couronne du Prince,https://www.wine.com/product/product/le-cellier-des-princes-cotes-du-rhone-la-couronne-du-prince-2018/1079083,Rhone Red Blends,1776,Cotes du Rhone,$18.99,"Cotes du Rhone, Rhone, France",1079083,C/I: Direct Import,In Stock,FNY1079083_2018,"Le Cellier des Princes Cotes du Rhone La Couronne du Prince 2018 from Cotes du Rhone, Rhone, France - This wine has been selected from the best parcels just outside of the Cheateauneuf du Pape area of appellation based on their soil, age and grape varieties with...",Wine:Product Detail:Le Cellier des Princes Cotes du Rhone La Couronne du Prince 2018,NY,PA,USD,18.99,5,1,5,1,,,750,14.5,91,,,,,,,,,,,,
w12,https://www.wine.com/list/wine/7155/1,2018,https://www.wine.com/product/product/ducourt-2018/1066750,Bordeaux Red Blends,502,Bordeaux,$12.99,"Bordeaux, France",1066750,C/I: Direct Import,In Stock,FNY1066750_2018,"Ducourt 2018 from Bordeaux, France - Ducourt Bordeaux is a bright ruby red. Pleasant aromas of red fruits and vanilla. The palate is robust, round and supple. Well-balanced....",Wine:Product Detail:Ducourt 2018,NY,PA,USD,12.99,5,1,5,1,,,750,14,90,,,,,,,,,,,,
w13,https://www.wine.com/list/wine/7155/1,Luc Belaire Cuvees,https://www.wine.com/product/product/luc-belaire-gold/336266,Non-Vintage Sparkling Wine,323,France,$29.98,France,336266,C/I: Popular,In Stock,PIN478070_0,Luc Belaire Luc Belaire Cuvees Winery Video,Wine:Product Detail:Luc Belaire Gold,NY,PA,USD,29.98,5,1,5,1,winery-video,2021-09-27T21:54:37+0000,750,11,,,,,,,,,,,,,
w14,https://www.wine.com/list/wine/7155/1,,https://www.wine.com/product/product/compact-12-bottle-wine-fridge/1307931,Serve & Preserve,50,Other,$239.99,Other,1307931,,In Stock,WEN272031201_0,Compact 12-Bottle Wine Fridge from Other - This stunning wine fridge holds twelve standard wine bottles like Bordeaux.  Its easy-to-use digital touchscreen controls provide easy access to set the interna...,Accessories:Product Detail:Compact 12-Bottle Wine Fridge,NY,PA,USD,239.99,5,1,,,,,750,0,,,,,,,,,,,,,
w15,https://www.wine.com/list/wine/7155/1,,https://www.wine.com/product/product/dom-perignon-vintage-2013-with-black-gift-box/1260483,Mixed Collections,14,Other,$299.97,Other,1260483,,In Stock,PDX1260483NY_0,"Dom Perignon Vintage 2013 with Black Gift Box from Other - Dom Pierre Pérignon was appointed ""cellarer"", or administrator, of the Abbaye d'Hautvillers in 1668. For the next 47 years he dedicated himself to creating ""the...",Wine Collections:Product Detail:Dom Perignon Vintage 2013 with Black Gift Box,NY,PA,USD,299.97,5,1,,,,,750,0,,,,,,,,,,,,,
w16,https://www.wine.com/list/wine/7155/1,"La Grande Dame, the Glory of Pinot Noir",https://www.wine.com/product/product/veuve-clicquot-yellow-label-brut/528,Non-Vintage Sparkling Wine,1834,Champagne,$74.97,"Champagne, France",528,C/I: KVI,In Stock,CGM517_0,"More than 200 years ago, Madame Clicquot was already particularly fond of this grape variety. The predominance of Pinot Noir marks out the style of Veuve Clicquot, and has become the signature of the House.​",Wine:Product Detail:Veuve Clicquot Yellow Label Brut,NY,PA,USD,74.97,5,1,5,1,winery-image,2022-07-19T00:16:26+0000,750,12,92,90,,91,,,,,,,,,
w17,https://www.wine.com/list/wine/7155/1,A Family Legacy,https://www.wine.com/product/product/kendall-jackson-vintners-reserve-chardonnay-2021/1144924,Chardonnay,3246,California,$15.99,California,1144924,C/I: KVI,In Stock,PIN569009_2021,"From left to right: Katherine Jackson, Barbara Banke, Christopher Jackson, Julia Jackson",Wine:Product Detail:Kendall-Jackson Vintner's Reserve Chardonnay 2021,NY,PA,USD,15.99,5,1,5,1,winery-image,2018-03-15T22:27:08+0000,750,13.5,,,,,,,,,,,,,
w18,https://www.wine.com/list/wine/7155/1,,https://www.wine.com/product/product/veuve-clicquot-yellow-label-brut-with-gold-gift-box/1170769,Mixed Collections,1242,Champagne,$89.97,"Champagne, France",1170769,,In Stock,PDX1170769NY_0,"Veuve Clicquot Yellow Label Brut with Gold Gift Box from Champagne, France - The perfect way to gift this fantastic Champagne is in our gorgeous, luxury gold gift box. Sure to WOW your recipient!Wine Gift Set Includes:Veuve Clicquot Yell...",Wine Collections:Product Detail:Veuve Clicquot Yellow Label Brut with Gold Gift Box,NY,PA,USD,89.97,5,1,,,,,750,0,,,,,,,,,,,,,
w19,https://www.wine.com/list/wine/7155/1,The Grapes,https://www.wine.com/product/product/kim-crawford-sauvignon-blanc-2022/1127206,Sauvignon Blanc,3022,Marlborough,$16.99,"Marlborough, New Zealand",1127206,C/I: KVI,In Stock,PIN14580_2022,"When flavor is at the core of your philosophy, grapes become the defining factor in ensuring excellent wine. The grapes that they select are grown in vineyards scattered among the stunning vistas and coastlines of New Zealand. ",Wine:Product Detail:Kim Crawford Sauvignon Blanc 2022,NY,PA,USD,16.99,5,1,5,1,winery-image,2018-10-22T19:15:10+0000,750,12,,,91,,,,,,,,,,
w20,https://www.wine.com/list/wine/7155/1,Chateau d'Esclans  Winery Image,https://www.wine.com/product/product/chateau-desclans-whispering-angel-rose-2022/1255471,Rosé,3564,Cotes de Provence,$24.99,"Cotes de Provence, Provence, South of France, France",1255471,C/I: KVI,In Stock,CGM56310_2022,Chateau d’Esclans Domaines Sacha Lichine Cellar Room,Wine:Product Detail:Chateau d'Esclans Whispering Angel Rose 2022,NY,PA,USD,24.99,5,1,5,1,winery-image,2020-04-01T19:09:59+0000,750,13,91,,,,,,,,,,,,
w21,https://www.wine.com/list/wine/7155/1,The Cellars,https://www.wine.com/product/product/billecart-salmon-brut-rose/23291,Sparkling Rosé,338,Champagne,$99.99,"Champagne, France",23291,C/I: Exception,In Stock,TEWFR103_0,Billecart-Salmon The Cellars Winery Image,Wine:Product Detail:Billecart-Salmon Brut Rose,NY,PA,USD,99.99,5,1,5,1,winery-image,2019-03-04T21:38:04+0000,750,12,93,92,96,91,,,92,91,94,,,,
w22,https://www.wine.com/list/wine/7155/1,Hampton Water Winery Image,https://www.wine.com/product/product/hampton-water-rose-2022/1260426,Rosé,2343,Languedoc,$19.99,"Languedoc, South of France, France",1260426,C/I: KVI,In Stock,PIN571807_2022,"You’ve just picked up your new favorite bottle of wine. Now go on, get to that dinner or pool, or beach, or whatever.",Wine:Product Detail:Hampton Water Rose 2022,NY,PA,USD,19.99,5,1,5,1,winery-image,2019-03-21T19:04:50+0000,750,0,,,90,,,,,,,,,,
w23,https://www.wine.com/list/wine/7155/1,Silver Oak Alexander Valley Wine Library,https://www.wine.com/product/product/silver-oak-alexander-valley-cabernet-sauvignon-2018/1100288,Cabernet Sauvignon,1487,Alexander Valley,$89.99,"Alexander Valley, Sonoma County, California",1100288,C/I: MAP,In Stock,CGM54355_2018,Silver Oak Alexander Valley Silver Oak Alexander Valley Wine Library Winery Image,Wine:Product Detail:Silver Oak Alexander Valley Cabernet Sauvignon 2018,NY,PA,USD,89.99,5,1,5,1,winery-image,2022-05-12T16:15:30+0000,750,14.4,,,91,,,,,,,,,,
w24,https://www.wine.com/list/wine/7155/1,"VINCENT CHAPERON, THE CELLAR MASTER",https://www.wine.com/product/product/dom-perignon-vintage-with-gift-box-2013/1215725,Vintage Sparkling Wine,92,Champagne,$299.97,"Champagne, France",1215725,C/I: Exception,In Stock,CGM56224_2013,In 2019 Vincent Chaperon became the Dom Pérignon Chef de Cave. He was born to a Bordeaux winemaking family where vineyards are a legacy and wine is a culture. Vincent sees Dom Pérignon’s vision – harmony as a source of emotion – as a true raison d’être. ,Wine:Product Detail:Dom Perignon Vintage with Gift Box 2013,NY,PA,USD,299.97,5,1,5,1,winery-image,2021-05-15T19:05:10+0000,750,12.5,98,96,,,,,,95,,,,,
w25,https://www.wine.com/list/wine/7155/1,Richie Allen ,https://www.wine.com/product/product/rombauer-chardonnay-2021/1060731,Chardonnay,1141,Carneros,$39.99,"Carneros, California",1060731,C/I: KVI,In Stock,WDW10470100202621_2021,Director of Viticulture and Winemaking,Wine:Product Detail:Rombauer Chardonnay 2021,NY,PA,USD,39.99,5,1,5,1,winery-image,2019-07-24T20:47:57+0000,750,14.5,,,91,,,,92,,,,,,
w26,https://www.wine.com/list/wine/7155/2,,https://www.wine.com/product/product/duckhorn-vineyards-wine-gift-set/112580,Collection,297,California,$164.99,California,112580,,In Stock,PDX112580NY_0,"Duckhorn Vineyards Wine Gift Set from California - This collection combines the three 90 Point wines from the renowned Duckhorn Wine Company: Goldeneye, seductive Pinot Noir hailing from the cool-climate Anderso...",Wine Collections:Product Detail:Duckhorn Vineyards Wine Gift Set,NY,PA,USD,164.99,5,1,,,,,750,0,,,,,,,,,,,,,
w27,https://www.wine.com/list/wine/7155/2,Winemaker Melissa Stackhouse,https://www.wine.com/product/product/meiomi-pinot-noir/717100,Pinot Noir,2002,California,$21.99,California,717100,C/I: KVI,In Stock,PIN993969_0,"A curious person with a love of the outdoors, Melissa combined her love of agriculture and science by earning a degree in Viticulture and Enology at the University of California, Davis, and then joining some of California's top wineries.",Wine:Product Detail:Meiomi Pinot Noir,NY,PA,USD,21.99,5,1,5,1,winery-image,2018-03-30T21:48:08+0000,750,13.7,,,,,,,,,,,,,
w28,https://www.wine.com/list/wine/7155/2,Monte Bello ,https://www.wine.com/product/product/ridge-three-valleys-red-2020/1005115,Other Red Blends,1223,Sonoma County,$27.99,"Sonoma County, California",1005115,C/I: KVI,In Stock,WLD18827_2020,Ridge Monte Bello  Winery Image,Wine:Product Detail:Ridge Three Valleys Red 2020,NY,PA,USD,27.99,5,1,5,1,winery-image,2020-03-12T22:18:34+0000,750,14.4,,93,92,,,,93,,,,,,
w29,https://www.wine.com/list/wine/7155/2,Tenuta San Guido View,https://www.wine.com/product/product/tenuta-san-guido-sassicaia-2020/1299329,Bordeaux Red Blends,729,Bolgheri,$279.99,"Bolgheri, Tuscany, Italy",1299329,C/I: Long Tail,In Stock,CGM56582_2020,from Castiglioncello Castle,Wine:Product Detail:Tenuta San Guido Sassicaia 2020,NY,PA,USD,279.99,5,1,5,1,winery-image,2020-09-24T16:06:37+0000,750,0,97,,,97,,,,96,,,97,,
w30,https://www.wine.com/list/wine/7155/2,Castellani Family,https://www.wine.com/product/product/castellani-sangiovese-2016/534558,Sangiovese,3254,Tuscany,$17.99,"Tuscany, Italy",534558,C/I: Long Tail,In Stock,TON83379_16_2016,"Exporters of wine since 1903, the Castellani family have founded their high-quality wines on the belief that ",Wine:Product Detail:Castellani Sangiovese 2016,NY,PA,USD,17.99,5,1,5,1,winery-image,2020-06-04T16:07:16+0000,750,13,94,,92,,,,,,,,,,
w31,https://www.wine.com/list/wine/7155/2,La Marca Winery Map,https://www.wine.com/product/product/la-marca-prosecco/24828,Non-Vintage Sparkling Wine,1881,Prosecco,$17.99,"Prosecco, Italy",24828,C/I: KVI,In Stock,CGM569757_0,La Marca La Marca Winery Map Winery Image,Wine:Product Detail:La Marca Prosecco,NY,PA,USD,17.99,5,1,5,1,winery-image,2020-02-07T17:16:31+0000,750,11.2,90,,90,,,,,,,,,,
w32,https://www.wine.com/list/wine/7155/2,Josh Cellars  Winery Image,https://www.wine.com/product/product/josh-cellars-cabernet-sauvignon-2020/1094744,Cabernet Sauvignon,2622,California,$14.99,California,1094744,C/I: KVI,In Stock,PIN975058_2020,Josh Cellars  Winery Image,Wine:Product Detail:Josh Cellars Cabernet Sauvignon 2020,NY,PA,USD,14.99,5,1,5,1,winery-image,2022-03-07T19:05:10+0000,750,13.5,,,,,,,,,,,,,
w33,https://www.wine.com/list/wine/7155/2,Ridgeline Vineyard Cabernet Sauvignon,https://www.wine.com/product/product/decoy-california-cabernet-sauvignon-2020/1069468,Cabernet Sauvignon,2256,California,$19.99,California,1069468,C/I: KVI,In Stock,PIN577504_2020,This storied vineyard is important to our Decoy Sonoma Country Cabernet Sauvignon and Merlot imparting lush fruit and structured tannins to the wines.,Wine:Product Detail:Decoy California Cabernet Sauvignon 2020,NY,PA,USD,19.99,5,1,5,1,winery-image,2018-04-18T19:20:08+0000,750,13.9,,,89,,,,,,,,,,
w34,https://www.wine.com/list/wine/7155/2,2021 California Old Vine Zinfandel,https://www.wine.com/product/product/bedrock-wine-company-california-old-vine-zinfandel-2021/1199558,Zinfandel,960,California,$24.99,California,1199558,C/I: Long Tail,In Stock,PSLCBE182_2021,Bedrock Wine Company California Old Vine Zinfandel 2021 from California - This is one of the strongest Old Vine Zinfandel bottlings they have made to date albeit a slightly different blend composition due to one of Mother Nature’s cur...,Wine:Product Detail:Bedrock Wine Company California Old Vine Zinfandel 2021,NY,PA,USD,24.99,5,1,5,1,,,750,0,,94,,,,,,,,,,,
w35,https://www.wine.com/list/wine/7155/2,The Estate on DAOU Mountain,https://www.wine.com/product/product/daou-cabernet-sauvignon-2021/1099849,Cabernet Sauvignon,2021,Paso Robles,$25.99,"Paso Robles, Central Coast, California",1099849,C/I: KVI,In Stock,PIN561327_2021,"Established in 2007, DAOU Mountain rises at 2,200 ft elevation in the hills of the Adelaida District. Its unique terroir is composed of a climate that yields warm, temperate days and cool nights, as well as calcareous clay soil.",Wine:Product Detail:DAOU Cabernet Sauvignon 2021,NY,PA,USD,25.99,5,1,5,1,winery-image,2023-03-15T19:54:11+0000,750,14.5,,,90,,,,91,93,,,,,
w36,https://www.wine.com/list/wine/7155/2,Henri Bourgeois Winery Image,https://www.wine.com/product/product/henri-bourgeois-sancerre-les-baronnes-blanc-2022/1255266,Sauvignon Blanc,73,Sancerre,$29.99,"Sancerre, Loire, France",1255266,C/I: Long Tail,In Stock,TON12239_22_2022,Arnaud Bourgeois climbing the famous Côte des Monts Damnés vineyard on a cold February morning.,Wine:Product Detail:Henri Bourgeois Sancerre Les Baronnes Blanc 2022,NY,PA,USD,29.99,5,1,5,1,winery-image,2019-09-09T23:51:50+0000,750,13.5,90,,,,,,,,,,,,
w37,https://www.wine.com/list/wine/7155/2,A Stone Cross Among the Vines,https://www.wine.com/product/product/chateau-lynch-bages-2019/583775,Bordeaux Red Blends,78,Pauillac,$159.99,"Pauillac, Bordeaux, France",583775,C/I: Luxury BDX,In Stock,FNY583775_2019,Chateau Lynch-Bages A Stone Cross Among the Vines Winery Image,Wine:Product Detail:Chateau Lynch-Bages 2019,NY,PA,USD,159.99,5,1,5,1,winery-image,2019-06-04T18:04:18+0000,750,14.1,97,96,,97,,,,96,100,,99,,
w38,https://www.wine.com/list/wine/7155/2,Galerie Imperiale,https://www.wine.com/product/product/moet-and-chandon-imperial-brut/97557,Non-Vintage Sparkling Wine,654,Champagne,$64.97,"Champagne, France",97557,C/I: KVI,In Stock,CGM8533_0,Moët & Chandon Galerie Imperiale Winery Image,Wine:Product Detail:Moet & Chandon Imperial Brut,NY,PA,USD,64.97,5,1,5,1,winery-image,2018-07-26T18:14:41+0000,750,12,91,90,,,,,90,,,93,,,
w39,https://www.wine.com/list/wine/7155/2,Vineyard ,https://www.wine.com/product/product/chateau-haut-gaudin-bordeaux-superieur-2019/1202359,Bordeaux Red Blends,2450,Bordeaux,$14.99,"Bordeaux, France",1202359,C/I: Exception,In Stock,TON1383_19R_2019,Chateau Haut Gaudin Vineyard  Winery Image,Wine:Product Detail:Chateau Haut Gaudin Bordeaux Superieur 2019,NY,PA,USD,14.99,5,1,5,1,winery-image,2021-05-17T22:35:45+0000,750,14,91,,90,,,,,,,,,,
w40,https://www.wine.com/list/wine/7155/2,The Count,https://www.wine.com/product/product/buena-vista-chateau-buena-vista-napa-valley-cabernet-sauvignon-2019/1081340,Cabernet Sauvignon,1991,Napa Valley,$39.99,"Napa Valley, California",1081340,C/I: Popular,In Stock,OPI60596_2019,Buena Vista Winery The Count Winery Image,Wine:Product Detail:Buena Vista Chateau Buena Vista Napa Valley Cabernet Sauvignon 2019,NY,PA,USD,39.99,5,1,5,1,winery-image,2019-10-30T22:05:12+0000,750,14.5,94,,,,,,,,91,,,,
w41,https://www.wine.com/list/wine/7155/2,Whitehaven Winery Image,https://www.wine.com/product/product/whitehaven-sauvignon-blanc-2022/1185540,Sauvignon Blanc,1446,Marlborough,$19.99,"Marlborough, New Zealand",1185540,C/I: KVI,In Stock,CGM56050_2022,Whitehaven also holds a Sustainable Winegrowing New Zealand Certification. This is a wolrd-leading program designed to promote best sustainability practices in the vineyard and winery.,Wine:Product Detail:Whitehaven Sauvignon Blanc 2022,NY,PA,USD,19.99,5,1,5,1,winery-image,2020-02-10T18:57:48+0000,750,13,89,,,,,,,,,,,,
w42,https://www.wine.com/list/wine/7155/2,Family Affair Through and Through,https://www.wine.com/product/product/chateau-minuty-m-rose-2021/910138,Rosé,589,Cotes de Provence,$23.99,"Cotes de Provence, Provence, South of France, France",910138,C/I: Popular,In Stock,CGM52702_2021,"Today Jean-Etienne and François Matton have taken over Minuty, pushing the estate even further forward.",Wine:Product Detail:Chateau Minuty M Rose 2021,NY,PA,USD,23.99,5,1,5,1,winery-image,2020-03-12T23:03:30+0000,750,13,90,,91,,,94,,,,,,,
w43,https://www.wine.com/list/wine/7155/2,,https://www.wine.com/product/product/silver-oak-alexander-valley-cabernet-and-stags-leap-wine-cellars-artemis-cabernet/1264710,Mixed Collections,7,Other,$214.99,Other,1264710,,In Stock,PDX1264710NY_0,Silver Oak Alexander Valley Cabernet & Stag's Leap Wine Cellars Artemis Cabernet from Other - Our current vintage of your favorite wines is ready for gifting in these fabulous black gift boxes!Gift Set Includes:Silver Oak Alexander Valley Cabernet Sauvig...,Wine Collections:Product Detail:Silver Oak Alexander Valley Cabernet & Stag's Leap Wine Cellars Artemis Cabernet,NY,PA,USD,214.99,5,1,,,,,750,0,,,,,,,,,,,,,
w44,https://www.wine.com/list/wine/7155/2,Matua Winery Image,https://www.wine.com/product/product/matua-sauvignon-blanc-2022/1164420,Sauvignon Blanc,1757,Marlborough,$12.99,"Marlborough, New Zealand",1164420,C/I: KVI,In Stock,CGM532761_2022,Matua Winery Image,Wine:Product Detail:Matua Sauvignon Blanc 2022,NY,PA,USD,12.99,5,1,5,1,winery-image,2019-04-16T20:11:52+0000,750,12.5,,,,,,,,,,,,,
w45,https://www.wine.com/list/wine/7155/2,2018 Reserve Cabernet Sauvignon,https://www.wine.com/product/product/grand-napa-vineyards-reserve-cabernet-sauvignon-2018/818142,Cabernet Sauvignon,239,Napa Valley,$53.99,"Napa Valley, California",818142,C/I: Long Tail,In Stock,TON72664_18_2018,"Grand Napa Vineyards Reserve Cabernet Sauvignon 2018 from Napa Valley, California - The dark ruby color is enticing. Blackberry and cassis aromas are jumping off the glass. On the palate, it has a concentrated body, harmonious tannins and a bla...",Wine:Product Detail:Grand Napa Vineyards Reserve Cabernet Sauvignon 2018,NY,PA,USD,53.99,5,1,5,1,,,750,0,92,,,,,92,,,94,,,,
w46,https://www.wine.com/list/wine/7155/2,Can Ràfols dels Caus - White Blend,https://www.wine.com/product/product/avaline-rose/623549,Rosé,8531,Vin de France,$19.99,"Vin de France, France",623549,C/I: Popular,In Stock,WBO30274382_0,Can Ràfols dels Caus is a family-owned winery with Roman origins and today is one of the most dynamic properties in Penedès. The estate sits on a mountain range along the Mediterranean coast filled with various sustainably grown agriculture. ,Wine:Product Detail:Avaline Rose,NY,PA,USD,19.99,5,1,5,1,winery-image,2021-02-03T20:16:55+0000,750,13,,,90,,,,,,,,,,90
w47,https://www.wine.com/list/wine/7155/2,Vineyards at Wölffer Estate Vineyard,https://www.wine.com/product/product/wolffer-summer-in-a-bottle-cotes-de-provence-rose-2022/1224944,Rosé,44290,Cotes de Provence,$26.99,"Cotes de Provence, Provence, South of France, France",1224944,C/I: Popular,In Stock,WBO30300270_2022,Wolffer Estate Vineyard Vineyards at Wölffer Estate Vineyard Winery Image,Wine:Product Detail:Wolffer Summer in a Bottle Cotes de Provence Rose 2022,NY,PA,USD,26.99,5,1,5,1,winery-image,2022-03-16T18:32:58+0000,750,12.4,,,,,,,,,,,,,
w48,https://www.wine.com/list/wine/7155/2,,https://www.wine.com/product/product/90-point-red-and-white-wine-collection/509387,Collection,148,,$119.99,,509387,,In Stock,PDX509387NY_0,"90 Point Red & White Wine Collection from  - This collection includes six of our favorite 90+ point-rated red and white wines from across the globe. From New Zealand and Chile to California, Australia, and...",Wine Collections:Product Detail:90 Point Red & White Wine Collection,NY,PA,USD,119.99,5,1,,,,,750,0,,,,,,,,,,,,,
w49,https://www.wine.com/list/wine/7155/2,Visitor Center,https://www.wine.com/product/product/duckhorn-napa-valley-cabernet-sauvignon-2019/871938,Cabernet Sauvignon,297,Napa Valley,$69.99,"Napa Valley, California",871938,C/I: MAP,In Stock,PIN538032_2019,"Unveiled in 2001, our estate house and tasting room feature a traditional design with a wrap-around veranda, nestled in beautiful St. Helena.",Wine:Product Detail:Duckhorn Napa Valley Cabernet Sauvignon 2019,NY,PA,USD,69.99,5,1,5,1,winery-image,2018-04-18T19:51:31+0000,750,14.5,92,90,92,,,,,,90,,,91,
